# Energies_eV	Pt-foil-5mu
11749.99	1.97311
11750.99	1.9749
11751.99	1.97518
11752.99	1.9757
11753.99	1.9768
11754.99	1.97736
11755.99	1.97898
11756.99	1.97945
11757.99	1.9798
11758.99	1.98032
11759.99	1.98025
11760.99	1.97934
11761.99	1.97586
11762.99	1.9723
11763.99	1.97031
11764.99	1.96676
11765.99	1.96408
11766.99	1.96227
11767.99	1.95927
11768.99	1.95437
11769.99	1.9517
11770.99	1.94877
11771.99	1.94483
11772.99	1.94346
11773.99	1.94185
11774.99	1.93928
11775.99	1.9377
11776.99	1.93591
11777.99	1.93406
11778.99	1.93406
11779.99	1.93326
11780.99	1.93248
11781.99	1.93144
11782.99	1.93099
11783.99	1.92938
11784.99	1.92916
11785.99	1.92844
11786.99	1.92833
11787.99	1.92788
11788.99	1.9272
11789.99	1.92581
11790.99	1.92527
11791.99	1.92582
11792.99	1.92769
11793.99	1.92895
11794.99	1.92943
11795.99	1.92975
11796.99	1.93025
11797.99	1.93003
11798.99	1.93005
11799.99	1.93004
11800.99	1.93094
11801.99	1.93367
11802.99	1.93525
11803.99	1.93639
11804.99	1.93817
11805.99	1.93916
11806.99	1.94052
11807.99	1.94473
11808.99	1.94687
11809.99	1.94863
11810.99	1.95201
11811.99	1.9535
11812.99	1.95415
11813.99	1.95691
11814.99	1.95866
11815.99	1.96001
11816.99	1.96192
11817.99	1.96287
11818.99	1.96362
11819.99	1.96392
11820.99	1.96346
11821.99	1.96301
11822.99	1.96259
11823.99	1.96272
11824.99	1.9624
11825.99	1.96069
11826.99	1.95903
11827.99	1.95788
11828.99	1.95487
11829.99	1.95291
11830.99	1.95157
11831.99	1.94927
11832.99	1.9467
11833.99	1.94573
11834.99	1.94274
11835.99	1.93938
11836.99	1.93797
11837.99	1.93462
11838.99	1.93095
11839.99	1.92923
11840.99	1.92695
11841.99	1.92466
11842.99	1.92241
11843.99	1.9202
11844.99	1.91706
11845.99	1.9153
11846.99	1.91367
11847.99	1.91201
11848.99	1.9116
11849.99	1.9108
11850.99	1.90997
11851.99	1.90976
11852.99	1.91028
11853.99	1.91101
11854.99	1.91081
11855.99	1.91158
11856.99	1.91227
11857.99	1.91374
11858.99	1.91363
11859.99	1.91433
11860.99	1.9145
11861.99	1.91537
11862.99	1.91468
11863.99	1.9137
11864.99	1.91216
11865.99	1.9114
11866.99	1.91071
11867.99	1.9108
11868.99	1.90973
11869.99	1.90935
11870.99	1.90865
11871.99	1.90711
11872.99	1.90695
11873.99	1.90659
11874.99	1.90595
11875.99	1.90546
11876.99	1.90583
11877.99	1.90743
11878.99	1.90867
11879.99	1.90909
11880.99	1.90977
11881.99	1.91041
11882.99	1.91082
11883.99	1.91125
11884.99	1.91265
11885.99	1.91369
11886.99	1.91494
11887.99	1.91631
11888.99	1.91693
11889.99	1.9177
11890.99	1.91846
11891.99	1.91988
11892.99	1.92105
11893.99	1.92344
11894.99	1.9243
11895.99	1.9247
11896.99	1.92466
11897.99	1.92462
11898.99	1.92524
11899.99	1.92592
11900.99	1.92592
11901.99	1.92603
11902.99	1.92551
11903.99	1.92493
11904.99	1.92465
11905.99	1.92348
11906.99	1.92296
11907.99	1.92261
11908.99	1.92094
11909.99	1.91967
11910.99	1.91758
11911.99	1.91452
11912.99	1.91157
11913.99	1.90994
11914.99	1.90732
11915.99	1.90458
11916.99	1.90356
11917.99	1.90176
11918.99	1.89959
11919.99	1.89836
11920.99	1.8958
11921.99	1.894
11922.99	1.89239
11923.99	1.89153
11924.99	1.88933
11925.99	1.88862
11926.99	1.8875
11927.99	1.88658
11928.99	1.88596
11929.99	1.88577
11930.99	1.88584
11931.99	1.88532
11932.99	1.88557
11933.99	1.88553
11934.99	1.88548
11935.99	1.88542
11936.99	1.88649
11937.99	1.88644
11938.99	1.88676
11939.99	1.88566
11940.99	1.88561
11941.99	1.88544
11942.99	1.88545
11943.99	1.88554
11944.99	1.88541
11945.99	1.88509
11946.99	1.88517
11947.99	1.88559
11948.99	1.88632
11949.99	1.88763
11950.99	1.88703
11951.99	1.88559
11952.99	1.88417
11953.99	1.8842
11954.99	1.88411
11955.99	1.8824
11956.99	1.881
11957.99	1.88027
11958.99	1.87916
11959.99	1.87811
11960.99	1.87736
11961.99	1.87641
11962.99	1.87655
11963.99	1.87716
11964.99	1.87717
11965.99	1.87735
11966.99	1.87683
11967.99	1.87846
11968.99	1.8782
11969.99	1.87883
11970.99	1.87796
11971.99	1.87867
11972.99	1.87878
11973.99	1.87982
11974.99	1.88048
11975.99	1.88071
11976.99	1.88143
11977.99	1.88261
11978.99	1.88194
11979.99	1.88174
11980.99	1.88158
11981.99	1.8826
11982.99	1.88346
11983.99	1.88376
11984.99	1.8833
11985.99	1.88275
11986.99	1.88238
11987.99	1.88325
11988.99	1.88388
11989.99	1.88343
11990.99	1.88192
11991.99	1.88065
11992.99	1.87995
11993.99	1.87979
11994.99	1.88013
11995.99	1.87968
11996.99	1.87994
11997.99	1.88019
11998.99	1.88104
11999.99	1.88082
12000.99	1.87993
12001.99	1.87832
12002.99	1.8773
12003.99	1.87676
12004.99	1.87576
12005.99	1.87285
12006.99	1.87188
12007.99	1.87153
12008.99	1.87062
12009.99	1.86939
12010.99	1.86844
12011.99	1.8665
12012.99	1.86535
12013.99	1.86375
12014.99	1.86196
12015.99	1.86095
12016.99	1.86009
12017.99	1.85807
12018.99	1.85554
12019.99	1.85468
12020.99	1.85262
12021.99	1.85084
12022.99	1.84857
12023.99	1.84704
12024.99	1.84512
12025.99	1.84418
12026.99	1.84392
12027.99	1.84305
12028.99	1.84345
12029.99	1.84328
12030.99	1.84304
12031.99	1.84233
12032.99	1.84329
12033.99	1.84365
12034.99	1.84303
12035.99	1.84164
12036.99	1.84164
12037.99	1.84062
12038.99	1.84042
12039.99	1.83974
12040.99	1.84074
12041.99	1.84176
12042.99	1.84176
12043.99	1.84117
12044.99	1.84076
12045.99	1.84038
12046.99	1.84069
12047.99	1.84076
12048.99	1.8412
12049.99	1.84131
12050.99	1.84135
12051.99	1.84158
12052.99	1.84175
12053.99	1.84219
12054.99	1.84208
12055.99	1.84212
12056.99	1.84308
12057.99	1.84338
12058.99	1.84463
12059.99	1.845
12060.99	1.84505
12061.99	1.84531
12062.99	1.84295
12063.99	1.84285
12064.99	1.84265
12065.99	1.84448
12066.99	1.84592
12067.99	1.84647
12068.99	1.84503
12069.99	1.84322
12070.99	1.84226
12071.99	1.84242
12072.99	1.84227
12073.99	1.84305
12074.99	1.84352
12075.99	1.84517
12076.99	1.84414
12077.99	1.84297
12078.99	1.84117
12079.99	1.83969
12080.99	1.83912
12081.99	1.83904
12082.99	1.83976
12083.99	1.83996
12084.99	1.83987
12085.99	1.83941
