# Energies_eV	Fe-powdre_3.2mg/cm2
7329.45	1.27565
7330.45	1.27463
7331.45	1.27289
7332.45	1.27155
7333.45	1.27054
7334.45	1.26833
7335.45	1.26658
7336.45	1.2647
7337.45	1.2645
7338.45	1.26415
7339.45	1.26407
7340.45	1.2646
7341.45	1.26515
7342.45	1.26614
7343.45	1.26803
7344.45	1.27026
7345.45	1.274
7346.45	1.27751
7347.45	1.28234
7348.45	1.28596
7349.45	1.29195
7350.45	1.29517
7351.45	1.29946
7352.45	1.30319
7353.45	1.30739
7354.45	1.31087
7355.45	1.31508
7356.45	1.31949
7357.45	1.32299
7358.45	1.32656
7359.45	1.32944
7360.45	1.3329
7361.45	1.33526
7362.45	1.3382
7363.45	1.33919
7364.45	1.34052
7365.45	1.34178
7366.45	1.34256
7367.45	1.34229
7368.45	1.34155
7369.45	1.34066
7370.45	1.33921
7371.45	1.33643
7372.45	1.33411
7373.45	1.32849
7374.45	1.32469
7375.45	1.3183
7376.45	1.31319
7377.45	1.30575
7378.45	1.29969
7379.45	1.29114
7380.45	1.28394
7381.45	1.27587
7382.45	1.26877
7383.45	1.26228
7384.45	1.25645
7385.45	1.25228
7386.45	1.24793
7387.45	1.245
7388.45	1.24166
7389.45	1.24083
7390.45	1.24011
7391.45	1.23944
7392.45	1.23956
7393.45	1.24047
7394.45	1.24078
7395.45	1.2418
7396.45	1.24384
7397.45	1.24484
7398.45	1.24529
7399.45	1.2449
7400.45	1.24462
7401.45	1.24493
7402.45	1.24491
7403.45	1.24507
7404.45	1.24506
7405.45	1.24501
7406.45	1.24418
7407.45	1.24311
7408.45	1.24361
7409.45	1.24506
7410.45	1.24528
7411.45	1.24536
7412.45	1.2457
7413.45	1.24527
7414.45	1.24476
7415.45	1.24439
7416.45	1.24451
7417.45	1.24456
7418.45	1.24429
7419.45	1.24444
7420.45	1.24361
7421.45	1.24277
7422.45	1.24145
7423.45	1.24023
7424.45	1.23899
7425.45	1.23766
7426.45	1.23587
7427.45	1.23571
7428.45	1.23502
7429.45	1.23401
7430.45	1.23364
7431.45	1.23322
7432.45	1.23265
7433.45	1.2329
7434.45	1.23289
7435.45	1.23218
7436.45	1.23282
7437.45	1.23452
7438.45	1.23567
7439.45	1.23698
7440.45	1.23677
7441.45	1.23706
7442.45	1.2392
7443.45	1.2424
7444.45	1.24395
7445.45	1.24604
7446.45	1.24785
7447.45	1.24981
7448.45	1.2508
7449.45	1.25222
7450.45	1.25397
7451.45	1.25437
7452.45	1.25464
7453.45	1.25622
7454.45	1.256
7455.45	1.25561
7456.45	1.25565
7457.45	1.25539
7458.45	1.25395
7459.45	1.25321
7460.45	1.25347
7461.45	1.25393
7462.45	1.25401
7463.45	1.25441
7464.45	1.25444
7465.45	1.25329
7466.45	1.25107
7467.45	1.24895
7468.45	1.24641
7469.45	1.24319
7470.45	1.24046
7471.45	1.23849
7472.45	1.23598
7473.45	1.23298
7474.45	1.23058
7475.45	1.22636
7476.45	1.22397
7477.45	1.22409
7478.45	1.22355
7479.45	1.22374
7480.45	1.22469
7481.45	1.22578
7482.45	1.22474
7483.45	1.22187
7484.45	1.21944
7485.45	1.21458
7486.45	1.21255
7487.45	1.21072
7488.45	1.2084
7489.45	1.20482
7490.45	1.20299
7491.45	1.20195
7492.45	1.20056
7493.45	1.19846
7494.45	1.19785
7495.45	1.19682
7496.45	1.19581
7497.45	1.19528
7498.45	1.19464
7499.45	1.19402
7500.45	1.19344
7501.45	1.19246
7502.45	1.19288
