Energies_eV	Nifoil2mu_03_26
7448.445	0.117124223869369
7448.695	0.126539199202244
7448.945	0.127414499400114
7449.195	0.127090148767121
7449.445	0.132294379922562
7449.695	0.138309148202028
7449.945	0.142245310844079
7450.195	0.1400808215512
7450.445	0.135867285616848
7450.695	0.134660130677045
7450.945	0.136135828693538
7451.195	0.13577007099583
7451.445	0.132160987041157
7451.695	0.131430644478178
7451.945	0.134235927156984
7452.195	0.137085930630678
7452.445	0.137113777590593
7452.695	0.135481964205396
7452.945	0.136141877452793
7453.195	0.136981624963631
7453.445	0.138310650963534
7453.695	0.136990465857533
7453.945	0.136609058311972
7454.195	0.138723666571266
7454.445	0.140382907457691
7454.695	0.140137706189127
7454.945	0.139432178257939
7455.195	0.140626300996841
7455.445	0.14273512012486
7455.695	0.142485358726655
7455.945	0.140958992608223
7456.195	0.140403668349322
7456.445	0.140684350187595
7456.695	0.140291689507628
7456.945	0.139827087937918
7457.195	0.139310902779352
7457.445	0.139133234714947
7457.695	0.139286848782851
7457.945	0.137671572241925
7458.195	0.13838492358469
7458.445	0.138800603797002
7458.695	0.138305114993017
7458.945	0.138395440036083
7459.195	0.139160090236643
7459.445	0.139439243680795
7459.695	0.139380312727601
7459.945	0.138532867680984
7460.195	0.138808792795948
7460.445	0.139937192808192
7460.695	0.139630393939226
7460.945	0.140010103397207
7461.195	0.141714298135804
7461.445	0.141725744689403
7461.695	0.142651614631378
7461.945	0.142441591727047
7462.195	0.142506879768063
7462.445	0.142709747743805
7462.695	0.141243467033664
7462.945	0.140741006703482
7463.195	0.139884679522519
7463.445	0.138442213008851
7463.695	0.137684105092217
7463.945	0.137420693402545
7464.195	0.137784974087732
7464.445	0.138579225076842
7464.695	0.139590891864746
7464.945	0.14018578861046
7465.195	0.140959464598363
7465.445	0.141351841241107
7465.695	0.141299971192065
7465.945	0.140649011195935
7466.195	0.13981779231103
7466.445	0.140806298429491
7466.695	0.141069425316466
7466.945	0.140234577781787
7467.195	0.140334987234248
7467.445	0.140412794142836
7467.695	0.14139922026178
7467.945	0.140270117343043
7468.195	0.139841728749018
7468.445	0.140472648119643
7468.695	0.141946181801799
7468.945	0.142386119663912
7469.195	0.142236285111437
7469.445	0.142292497738854
7469.695	0.143015668615341
7469.945	0.143438826082882
7470.195	0.143379694216532
7470.445	0.142200442688951
7470.695	0.141343896169829
7470.945	0.141134251734209
7471.195	0.14060996346317
7471.445	0.139833585281667
7471.695	0.139096421185833
7471.945	0.137917419765922
7472.195	0.138893829980003
7472.445	0.139496432203676
7472.695	0.139970437942722
7472.945	0.140265036613877
7473.195	0.1405674434854
7473.445	0.140871929915196
7473.695	0.140774916628801
7473.945	0.140531742991046
7474.195	0.140221547446202
7474.445	0.140391002941155
7474.695	0.140567353881712
7474.945	0.140141769792372
7475.195	0.14076984396771
7475.445	0.141176880913686
7475.695	0.140440330570854
7475.945	0.140726459777272
7476.195	0.141212387456114
7476.445	0.14159818461276
7476.695	0.141648443699597
7476.945	0.140800058158214
7477.195	0.141331162736675
7477.445	0.141746560640968
7477.695	0.1420379403304
7477.945	0.142179261439804
7478.195	0.143058347619711
7478.445	0.143446149463222
7478.695	0.144045997884375
7478.945	0.14414036476165
7479.195	0.143800029066735
7479.445	0.143334999887654
7479.695	0.143870688773666
7479.945	0.143000727529131
7480.195	0.142974399047314
7480.445	0.142218512019327
7480.695	0.142454107553908
7480.945	0.143756705825348
7481.195	0.142448924945193
7481.445	0.142272138212711
7481.695	0.14264106632996
7481.945	0.142804393228114
7482.195	0.142554429428159
7482.445	0.142305729003907
7482.695	0.142163044926853
7482.945	0.142150886877612
7483.195	0.142068486140974
7483.445	0.142685129243074
7483.695	0.142154996271514
7483.945	0.142649853369976
7484.195	0.143065962294507
7484.445	0.142864048174991
7484.695	0.143628821557374
7484.945	0.142955814628956
7485.195	0.14211535100041
7485.445	0.142079137018211
7485.695	0.141725280531669
7485.945	0.14131712223652
7486.195	0.140331652320551
7486.445	0.140378518144898
7486.695	0.140413107268712
7486.945	0.141512745113262
7487.195	0.141440904516943
7487.445	0.140907499134563
7487.695	0.141082083902679
7487.945	0.142711372370194
7488.195	0.143534167384509
7488.445	0.143714342033467
7488.695	0.143473123720899
7488.945	0.143756665926221
7489.195	0.144364591127969
7489.445	0.144250506263599
7489.695	0.142245604006362
7489.945	0.140996064005416
7490.195	0.141309386063792
7490.445	0.141863859869627
7490.695	0.141800023095981
7490.945	0.142238718381897
7491.195	0.143422621937327
7491.445	0.144759366842412
7491.695	0.145703624894835
7491.945	0.145362481234031
7492.195	0.144909697526279
7492.445	0.145901772987248
7492.695	0.146199308448465
7492.945	0.146045838747611
7493.195	0.145024574548927
7493.445	0.144488383297304
7493.695	0.1447289020819
7493.945	0.145195479550036
7494.195	0.144138343206304
7494.445	0.143189089799652
7494.695	0.143383176543302
7494.945	0.143619866917809
7495.195	0.143488041391931
7495.445	0.143476682546244
7495.695	0.144038406932177
7495.945	0.143688471637045
7496.195	0.143971044961084
7496.445	0.143293284055228
7496.695	0.142874863560383
7496.945	0.14254198605818
7497.195	0.141004318617869
7497.445	0.140204709909348
7497.695	0.139601969662668
7497.945	0.138470045824079
7498.195	0.138089096687573
7498.445	0.137757965194898
7498.695	0.138343202372355
7498.945	0.13939619986557
7499.195	0.139785753728955
7499.445	0.140440343020297
7499.695	0.140929323864351
7499.945	0.14219277176008
7500.195	0.143737270677564
7500.445	0.143672361573945
7500.695	0.143551956823072
7500.945	0.143291363470981
7501.195	0.143346698734469
7501.445	0.144767769380818
