# Energies_eV	Pt-foil-5mu
10312.99	1.13066
10313.99	1.13284
10314.99	1.13397
10315.99	1.1332
10316.99	1.13324
10317.99	1.13201
10318.99	1.13291
10319.99	1.13385
10320.99	1.13466
10321.99	1.13328
10322.99	1.13405
10323.99	1.13645
10324.99	1.13346
10325.99	1.12725
10326.99	1.12317
10327.99	1.12822
10328.99	1.12831
10329.99	1.12479
10330.99	1.12617
10331.99	1.12565
10332.99	1.12536
10333.99	1.12812
10334.99	1.12838
10335.99	1.1262
10336.99	1.12369
10337.99	1.1236
10338.99	1.12438
10339.99	1.12433
10340.99	1.12408
10341.99	1.12318
10342.99	1.12321
10343.99	1.12252
10344.99	1.12529
10345.99	1.12625
10346.99	1.12547
10347.99	1.1235
10348.99	1.12429
10349.99	1.12541
10350.99	1.12401
10351.99	1.12393
10352.99	1.12233
10353.99	1.12295
10354.99	1.12217
10355.99	1.11934
10356.99	1.11745
10357.99	1.11696
10358.99	1.11804
10359.99	1.12054
10360.99	1.12163
10361.99	1.12568
10362.99	1.12705
10363.99	1.12124
10364.99	1.11676
10365.99	1.11942
10366.99	1.11869
10367.99	1.11995
10368.99	1.11716
10369.99	1.11419
10370.99	1.11598
10371.99	1.12139
10372.99	1.12112
10373.99	1.11675
10374.99	1.11449
10375.99	1.11606
10376.99	1.11668
10377.99	1.11703
10378.99	1.11557
10379.99	1.11827
10380.99	1.11496
10381.99	1.10974
10382.99	1.11059
10383.99	1.11456
10384.99	1.11163
10385.99	1.10748
10386.99	1.10997
10387.99	1.11607
10388.99	1.1155
10389.99	1.11601
10390.99	1.1172
10391.99	1.11694
10392.99	1.11284
10393.99	1.10964
10394.99	1.11197
10395.99	1.11135
10396.99	1.10893
10397.99	1.10708
10398.99	1.10924
10399.99	1.10692
10400.99	1.10692
10401.99	1.10669
10402.99	1.10363
10403.99	1.10273
10404.99	1.10404
10405.99	1.1057
10406.99	1.10386
10407.99	1.10493
10408.99	1.1036
10409.99	1.10337
10410.99	1.10396
10411.99	1.1064
10412.99	1.10592
10413.99	1.10544
10414.99	1.10733
10415.99	1.11047
10416.99	1.10847
10417.99	1.1017
10418.99	1.0999
10419.99	1.09852
10420.99	1.10053
10421.99	1.09995
10422.99	1.10043
10423.99	1.10355
10424.99	1.1025
10425.99	1.10225
