# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
2.0390000000E+001  3.9893251208E-001
2.0394000000E+001  3.9710993510E-001
2.0398000000E+001  3.9577760605E-001
2.0402000000E+001  3.9338581524E-001
2.0406000000E+001  3.9187854454E-001
2.0410000000E+001  3.9067970317E-001
2.0414000000E+001  3.8907405703E-001
2.0418000000E+001  3.8886958954E-001
2.0422000000E+001  3.8684248002E-001
2.0426000000E+001  3.8440715266E-001
2.0430000000E+001  3.8308877833E-001
2.0434000000E+001  3.8162608828E-001
2.0438000000E+001  3.8058568818E-001
2.0442000000E+001  3.7944174939E-001
2.0446000000E+001  3.7774625357E-001
2.0450000000E+001  3.7541189318E-001
2.0454000000E+001  3.7417309212E-001
2.0458000000E+001  3.7242149836E-001
2.0462000000E+001  3.7079220923E-001
2.0466000000E+001  3.6916660350E-001
2.0470000000E+001  3.6897272012E-001
2.0474000000E+001  3.6630116480E-001
2.0478000000E+001  3.6548350697E-001
2.0482000000E+001  3.6396759431E-001
2.0486000000E+001  3.6105892769E-001
2.0490000000E+001  3.6037526140E-001
2.0494000000E+001  3.5855271323E-001
2.0498000000E+001  3.5752567660E-001
2.0502000000E+001  3.5594872372E-001
2.0506000000E+001  3.5443979756E-001
2.0510000000E+001  3.5216976863E-001
2.0514000000E+001  3.5147296702E-001
2.0518000000E+001  3.5001165736E-001
2.0522000000E+001  3.4813308771E-001
2.0526000000E+001  3.4698203551E-001
2.0530000000E+001  3.4573103283E-001
2.0534000000E+001  3.4365049303E-001
2.0538000000E+001  3.4294649177E-001
2.0542000000E+001  3.4133291077E-001
2.0546000000E+001  3.4033456460E-001
2.0550000000E+001  3.3727650490E-001
2.0554000000E+001  3.3645661431E-001
2.0558000000E+001  3.3517055787E-001
2.0562000000E+001  3.3338701752E-001
2.0566000000E+001  3.3240339414E-001
2.0570000000E+001  3.2995683091E-001
2.0574000000E+001  3.2904797844E-001
2.0578000000E+001  3.2685908920E-001
2.0582000000E+001  3.2567122699E-001
2.0586000000E+001  3.2414719820E-001
2.0590000000E+001  3.2269622199E-001
2.0594000000E+001  3.2002751248E-001
2.0598000000E+001  3.1925543491E-001
2.0602000000E+001  3.1866607103E-001
2.0606000000E+001  3.1754079902E-001
