# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
1.9027000000E+001  1.2351720276E+000
1.9028000000E+001  1.2353431086E+000
1.9029000000E+001  1.2243353774E+000
1.9030000000E+001  1.2031834423E+000
1.9031000000E+001  1.1744034795E+000
1.9032000000E+001  1.1439992573E+000
1.9033000000E+001  1.1148167107E+000
1.9034000000E+001  1.0903694769E+000
1.9035000000E+001  1.0708055018E+000
1.9036000000E+001  1.0561095783E+000
1.9037000000E+001  1.0460251916E+000
1.9038000000E+001  1.0422464933E+000
1.9039000000E+001  1.0412104843E+000
1.9040000000E+001  1.0439666609E+000
1.9041000000E+001  1.0484208803E+000
1.9042000000E+001  1.0552883797E+000
1.9043000000E+001  1.0629271425E+000
1.9044000000E+001  1.0702310017E+000
1.9045000000E+001  1.0746037695E+000
1.9046000000E+001  1.0760119500E+000
1.9047000000E+001  1.0754140459E+000
1.9048000000E+001  1.0727685310E+000
1.9049000000E+001  1.0680794638E+000
1.9050000000E+001  1.0629720310E+000
1.9051000000E+001  1.0563863421E+000
1.9052000000E+001  1.0517051610E+000
1.9053000000E+001  1.0457601236E+000
1.9054000000E+001  1.0395986079E+000
1.9055000000E+001  1.0363146240E+000
1.9056000000E+001  1.0335094720E+000
1.9057000000E+001  1.0329700962E+000
1.9058000000E+001  1.0347159349E+000
1.9059000000E+001  1.0402259513E+000
1.9060000000E+001  1.0507257419E+000
1.9061000000E+001  1.0628907885E+000
1.9062000000E+001  1.0761878092E+000
1.9063000000E+001  1.0902258973E+000
1.9064000000E+001  1.1026817156E+000
1.9065000000E+001  1.1124773088E+000
1.9066000000E+001  1.1208842517E+000
1.9067000000E+001  1.1247801336E+000
1.9068000000E+001  1.1261582438E+000
1.9069000000E+001  1.1215059552E+000
1.9070000000E+001  1.1139422105E+000
1.9071000000E+001  1.1025121436E+000
1.9072000000E+001  1.0896136843E+000
1.9073000000E+001  1.0748122784E+000
1.9074000000E+001  1.0603249202E+000
1.9075000000E+001  1.0479015244E+000
1.9076000000E+001  1.0370483613E+000
1.9077000000E+001  1.0293294946E+000
1.9078000000E+001  1.0240008973E+000
1.9079000000E+001  1.0219033058E+000
1.9080000000E+001  1.0215992205E+000
1.9081000000E+001  1.0236732661E+000
1.9082000000E+001  1.0253398568E+000
1.9083000000E+001  1.0273244054E+000
1.9084000000E+001  1.0282394792E+000
1.9085000000E+001  1.0290072159E+000
1.9086000000E+001  1.0283787261E+000
1.9087000000E+001  1.0275025266E+000
1.9088000000E+001  1.0274277214E+000
1.9089000000E+001  1.0271864921E+000
1.9090000000E+001  1.0259804906E+000
1.9091000000E+001  1.0270976087E+000
1.9092000000E+001  1.0269655639E+000
1.9093000000E+001  1.0285822231E+000
1.9094000000E+001  1.0291304707E+000
1.9095000000E+001  1.0335130108E+000
1.9096000000E+001  1.0362662577E+000
1.9097000000E+001  1.0408612822E+000
1.9098000000E+001  1.0455356597E+000
1.9099000000E+001  1.0509346449E+000
1.9100000000E+001  1.0560376060E+000
1.9101000000E+001  1.0606814339E+000
1.9102000000E+001  1.0655570258E+000
1.9103000000E+001  1.0690080834E+000
1.9104000000E+001  1.0714641543E+000
1.9105000000E+001  1.0720817432E+000
1.9106000000E+001  1.0711993988E+000
1.9108000000E+001  1.0655767019E+000
1.9110000000E+001  1.0549021627E+000
1.9112000000E+001  1.0427698195E+000
1.9114000000E+001  1.0291651161E+000
1.9116000000E+001  1.0138319526E+000
1.9118000000E+001  9.9807879327E-001
1.9120000000E+001  9.8423961205E-001
1.9122000000E+001  9.7597828430E-001
1.9124000000E+001  9.7050071424E-001
1.9126000000E+001  9.6647901553E-001
1.9128000000E+001  9.6250123624E-001
1.9130000000E+001  9.6039101891E-001
1.9132000000E+001  9.5986334481E-001
1.9134000000E+001  9.6315222384E-001
1.9136000000E+001  9.6702224034E-001
1.9138000000E+001  9.7337672994E-001
1.9140000000E+001  9.7761570463E-001
1.9142000000E+001  9.8052468297E-001
1.9144000000E+001  9.8315787699E-001
1.9146000000E+001  9.8412374281E-001
1.9148000000E+001  9.8317094908E-001
1.9150000000E+001  9.8172138332E-001
1.9152000000E+001  9.8255377821E-001
1.9154000000E+001  9.8856228419E-001
1.9156000000E+001  9.9968094466E-001
1.9158000000E+001  1.0125969116E+000
1.9160000000E+001  1.0255773654E+000
1.9162000000E+001  1.0346935177E+000
1.9164000000E+001  1.0404181706E+000
1.9166000000E+001  1.0388084068E+000
1.9168000000E+001  1.0327182701E+000
1.9170000000E+001  1.0221329121E+000
1.9172000000E+001  1.0055207815E+000
1.9174000000E+001  9.8575202875E-001
1.9176000000E+001  9.6411629627E-001
1.9178000000E+001  9.4198375986E-001
1.9180000000E+001  9.2154678040E-001
1.9182000000E+001  9.0557629813E-001
1.9184000000E+001  8.9388746563E-001
1.9186000000E+001  8.8949562079E-001
1.9188000000E+001  8.8986489651E-001
1.9190000000E+001  8.9259368330E-001
1.9192000000E+001  8.9579064781E-001
1.9194000000E+001  8.9907143496E-001
1.9196000000E+001  9.0042652805E-001
1.9198000000E+001  9.0216419466E-001
1.9200000000E+001  9.0398447164E-001
1.9202000000E+001  9.0697217325E-001
1.9204000000E+001  9.1204467147E-001
1.9206000000E+001  9.1801598525E-001
1.9208000000E+001  9.2527741167E-001
1.9210000000E+001  9.3309181999E-001
1.9212000000E+001  9.4133289843E-001
1.9214000000E+001  9.4828837683E-001
1.9216000000E+001  9.5577856952E-001
1.9218000000E+001  9.6129407629E-001
1.9220000000E+001  9.6557388094E-001
1.9222000000E+001  9.6849212581E-001
1.9224000000E+001  9.6981495722E-001
1.9226000000E+001  9.7117923101E-001
1.9228000000E+001  9.7005369242E-001
1.9230000000E+001  9.6985063514E-001
1.9232000000E+001  9.6867530151E-001
1.9234000000E+001  9.6557342808E-001
1.9236000000E+001  9.6222799218E-001
1.9238000000E+001  9.5655574989E-001
1.9240000000E+001  9.5046127620E-001
1.9242000000E+001  9.4357333605E-001
1.9244000000E+001  9.3555793281E-001
1.9246000000E+001  9.2582902910E-001
1.9248000000E+001  9.1535465807E-001
1.9250000000E+001  9.0629494787E-001
1.9252000000E+001  8.9710012892E-001
1.9254000000E+001  8.9008960251E-001
1.9256000000E+001  8.8322126812E-001
1.9258000000E+001  8.7784993440E-001
1.9260000000E+001  8.7224015438E-001
1.9262000000E+001  8.6785538633E-001
1.9264000000E+001  8.6493956244E-001
1.9266000000E+001  8.6423092417E-001
1.9268000000E+001  8.6515759983E-001
1.9270000000E+001  8.6837135816E-001
1.9272000000E+001  8.7243264299E-001
1.9274000000E+001  8.7709841705E-001
1.9276000000E+001  8.8199315505E-001
1.9278000000E+001  8.8711577561E-001
1.9280000000E+001  8.9191012006E-001
1.9282000000E+001  8.9627793975E-001
1.9284000000E+001  9.0052496969E-001
1.9286000000E+001  9.0377788854E-001
1.9288000000E+001  9.0774276590E-001
1.9290000000E+001  9.1014519404E-001
1.9292000000E+001  9.1204605793E-001
1.9294000000E+001  9.1419761491E-001
1.9296000000E+001  9.1471681362E-001
1.9298000000E+001  9.1475752368E-001
1.9300000000E+001  9.1436388499E-001
1.9302000000E+001  9.1297043306E-001
1.9304000000E+001  9.1123541033E-001
1.9306000000E+001  9.0872998331E-001
1.9308000000E+001  9.0576837238E-001
1.9310000000E+001  9.0219358013E-001
1.9312000000E+001  8.9976396526E-001
1.9314000000E+001  8.9692442831E-001
1.9316000000E+001  8.9461404149E-001
1.9318000000E+001  8.9289314917E-001
1.9320000000E+001  8.9013711108E-001
1.9322000000E+001  8.8815742427E-001
1.9324000000E+001  8.8418039284E-001
1.9326000000E+001  8.8016917337E-001
1.9328000000E+001  8.7531925514E-001
1.9330000000E+001  8.7144277454E-001
1.9332000000E+001  8.6597484903E-001
1.9334000000E+001  8.6243864986E-001
1.9336000000E+001  8.6030613186E-001
1.9338000000E+001  8.5800248180E-001
1.9340000000E+001  8.5593362193E-001
1.9342000000E+001  8.5418121852E-001
1.9344000000E+001  8.5301219536E-001
1.9346000000E+001  8.5092775722E-001
1.9348000000E+001  8.5010796345E-001
1.9350000000E+001  8.4784240110E-001
1.9352000000E+001  8.4645743300E-001
1.9354000000E+001  8.4582498126E-001
1.9356000000E+001  8.4487746529E-001
1.9358000000E+001  8.4524551898E-001
1.9360000000E+001  8.4704510247E-001
1.9362000000E+001  8.4711897719E-001
1.9364000000E+001  8.4931647287E-001
1.9366000000E+001  8.4958935629E-001
1.9368000000E+001  8.5020766740E-001
1.9370000000E+001  8.5057600288E-001
1.9372000000E+001  8.4962003830E-001
1.9374000000E+001  8.4943255709E-001
1.9376000000E+001  8.4917210113E-001
1.9378000000E+001  8.4717200658E-001
1.9380000000E+001  8.4730932368E-001
1.9382000000E+001  8.4649129746E-001
1.9384000000E+001  8.4547262003E-001
1.9386000000E+001  8.4589002931E-001
1.9388000000E+001  8.4622610676E-001
1.9390000000E+001  8.4562222438E-001
1.9392000000E+001  8.4641404263E-001
1.9394000000E+001  8.4679264662E-001
1.9396000000E+001  8.4744562840E-001
1.9398000000E+001  8.4749518282E-001
1.9400000000E+001  8.4693034859E-001
1.9402000000E+001  8.4700567631E-001
1.9404000000E+001  8.4679890604E-001
1.9406000000E+001  8.4539154058E-001
1.9408000000E+001  8.4407091328E-001
1.9410000000E+001  8.4143960195E-001
1.9412000000E+001  8.4010584365E-001
1.9414000000E+001  8.3873451286E-001
1.9416000000E+001  8.3645184043E-001
1.9418000000E+001  8.3429842156E-001
1.9420000000E+001  8.3127369238E-001
1.9422000000E+001  8.2923967875E-001
1.9424000000E+001  8.2655827004E-001
1.9426000000E+001  8.2370202796E-001
1.9428000000E+001  8.2140085967E-001
1.9430000000E+001  8.1864332585E-001
1.9432000000E+001  8.1769786199E-001
1.9434000000E+001  8.1571454694E-001
1.9436000000E+001  8.1450600527E-001
1.9438000000E+001  8.1367799130E-001
1.9440000000E+001  8.1307278838E-001
1.9442000000E+001  8.1214977685E-001
1.9444000000E+001  8.1164891836E-001
1.9446000000E+001  8.1033998258E-001
1.9448000000E+001  8.0986028234E-001
1.9450000000E+001  8.0867728342E-001
1.9452000000E+001  8.0843338893E-001
1.9454000000E+001  8.0742086302E-001
1.9456000000E+001  8.0656232578E-001
1.9458000000E+001  8.0549538771E-001
1.9460000000E+001  8.0530795651E-001
1.9462000000E+001  8.0416100944E-001
1.9464000000E+001  8.0290768382E-001
1.9466000000E+001  8.0223465756E-001
1.9468000000E+001  8.0061931458E-001
1.9470000000E+001  7.9963842101E-001
1.9472000000E+001  7.9846170695E-001
1.9474000000E+001  7.9854201210E-001
1.9476000000E+001  7.9688216773E-001
1.9478000000E+001  7.9728922667E-001
1.9480000000E+001  7.9690909440E-001
1.9482000000E+001  7.9631796226E-001
1.9484000000E+001  7.9547523229E-001
1.9486000000E+001  7.9527311080E-001
1.9488000000E+001  7.9462181614E-001
1.9490000000E+001  7.9406900169E-001
1.9492000000E+001  7.9231657105E-001
1.9494000000E+001  7.9149954651E-001
1.9496000000E+001  7.9148216855E-001
1.9498000000E+001  7.9119036964E-001
