# Sample I1 = col 2  I2= col 3, mu = ln(I1/I2), Reference not available
#S 1  zapline mono 16.5279 14.3086 1409 300 
#D Sun Nov 12 17:20:02 2017
#T 300  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 -5.7000169 0 0.2 3.3333333e-07 -1425.473 3 14000 -0.1
#P1 9.043 70 0 4.7300003 0.24 0 0 
#P2 43.155625 45.715313 24.684375 88.871 -1.28 9.483477 39.3 -0.377
#P3 -1.2126797 -3.715 -11.937714 16.403923 -2.2549199 10 38 3.9999997
#P4 34.999994 0 35 0.30307037 0.30304712 -0.0002325 0.30305875 57.213563
#P5 1.0493125 76.568551 4.51 1560 29.8325 51.932812 81.7655 -11.05
#P6 74 14.3086 -568939.53 50 20 0.99752498 17 3.6
#P7 -1.92 -0.3 5 0 14.50866 0 0 
#UMI0     Current AutoM      Shutter    
#UMI1      166.15    ON     FE open     
#UMI2 Refill in 13200 sec, Fill Mode: 7/8 multibunch / Message: Nov 12 09:04 Delivery:Next Refill at 21:00; 
#N 18
#ZapEnergy Mon Ion1 Ion2
7.0932083 67654 23947 25770 
7.0941062 67742 23977 25876 
7.0950112 67706 23991 25871 
7.0959201 67731 24034 25869 
7.0968208 67752 24079 25875 
7.0977221 67800 24165 25946 
7.0986276 67790 24121 25948 
7.0995378 67864 24229 25871 
7.1004395 67851 24299 25972 
7.1013417 67886 24357 26010 
7.1022482 67907 24342 26055 
7.1031551 67902 24369 26009 
7.1040535 67911 24406 26010 
7.1049628 67909 24412 25976 
7.1058683 67951 24479 25992 
7.1067781 67985 24544 26076 
7.1076841 67987 24571 25999 
7.108592 67894 24520 25921 
7.1095004 67787 24411 25893 
7.110405 67572 24226 25605 
7.1113138 67428 24097 25321 
7.1122212 67224 24005 25135 
7.1131263 67186 23874 24957 
7.114038 67114 23713 24926 
7.1149392 67054 23466 24793 
7.1158409 66998 23022 24617 
7.1167512 66882 22229 24387 
7.117662 66794 21350 24059 
7.1185727 66669 20413 23571 
7.1194797 66602 19688 23139 
7.1203847 66503 19001 22869 
7.1212897 66360 18320 22617 
7.1222019 66231 17486 22245 
7.1231093 65995 16651 21966 
7.1240091 65812 16161 21648 
7.1249127 65567 15804 21507 
7.1258173 65377 15473 21417 
7.1267304 65314 15093 21265 
7.1276393 65296 14921 21183 
7.1285529 64972 15074 21103 
7.1294689 63872 15300 21199 
7.1303806 64315 15899 21181 
7.1312861 64462 16387 21169 
7.1321964 64509 16740 21503 
7.1331115 64528 16935 21649 
7.1340265 64613 17173 21602 
7.134933 64657 17382 21909 
7.1358485 64716 17551 21895 
7.136764 64717 17675 21972 
7.1376758 64779 17710 21911 
7.138588 64784 17669 22026 
7.1394978 64846 17583 21899 
7.1404123 64852 17462 21829 
7.1413207 64902 17389 21835 
7.14224 64935 17377 21899 
7.1431599 65028 17486 21824 
7.1440754 65061 17691 21998 
7.1449909 65142 17866 21934 
7.145905 65252 18066 22035 
7.1468277 65287 18212 22099 
7.1477442 65402 18357 22109 
7.1486611 65475 18493 22014 
7.1495781 65450 18613 22109 
7.1505017 65485 18682 22127 
7.1514192 65591 18768 22198 
7.1523433 65514 18773 22206 
7.1532617 65576 18814 22157 
7.1541753 65655 18886 22302 
7.1550894 65643 18892 22260 
7.156004 65688 18950 22232 
7.1569228 65652 18880 22156 
7.1578422 65688 18899 22196 
7.1587591 65650 18878 22221 
7.1596856 65619 18891 22189 
7.1606121 65594 18892 22202 
7.1615257 65574 18870 22207 
7.1624441 65535 18827 22056 
7.1633625 65481 18775 22195 
7.164279 65461 18691 22208 
7.1651936 65422 18577 22103 
7.166111 65370 18437 22076 
7.1670237 65329 18303 22083 
7.1679459 65282 18246 22074 
7.1688657 65288 18185 22001 
7.1697903 65247 18144 22021 
7.1707153 65251 18096 22060 
7.1716313 65274 18059 21994 
7.1725569 65269 18066 22028 
7.1734715 65267 18071 22094 
7.1743951 65289 18113 22070 
7.1753192 65276 18154 22162 
7.17625 65228 18244 22132 
7.1771741 65195 18326 22181 
7.1780925 65167 18411 22235 
7.1790195 65129 18481 22224 
7.1799421 65067 18577 22203 
7.180872 65000 18717 22392 
7.1817889 64885 18800 22203 
7.1827168 64673 18814 22260 
7.1836476 64403 18831 22305 
7.184576 63934 18772 22198 
7.1854982 62999 18601 22272 
7.1864276 61483 18297 22072 
7.1873569 59397 17792 21992 
7.188273 58254 17540 21916 
7.1891985 63391 18997 22236 
7.1901221 65751 19689 22457 
7.1910524 66272 19892 22534 
7.1919808 66441 20013 22449 
7.192914 66550 20113 22634 
7.1938472 66555 20206 22570 
7.1947718 66606 20235 22477 
7.1957011 66551 20209 22636 
7.1966286 66551 20240 22676 
7.1975608 66550 20252 22560 
7.1984839 66559 20233 22525 
7.1994166 66585 20217 22665 
7.2003493 66575 20254 22689 
7.2012868 66586 20268 22682 
7.2022223 66571 20292 22632 
7.203156 66609 20357 22705 
7.2040877 66592 20369 22718 
7.2050085 66600 20374 22878 
7.2059321 66592 20428 22853 
7.2068601 66588 20453 22897 
7.2077904 66590 20529 22697 
7.2087231 66516 20492 22854 
7.2096629 66591 20555 22770 
7.2106009 66554 20573 22852 
7.2115278 66581 20583 22724 
7.2124572 66575 20574 22660 
7.2133889 66556 20586 22597 
7.2143278 66527 20632 22722 
7.2152605 66455 20598 22574 
7.2161932 66102 20517 22472 
7.2171259 66441 20605 22587 
7.2180681 66617 20651 22600 
7.2190013 66648 20677 22628 
7.2199397 66684 20709 22514 
7.2208691 66646 20759 22627 
7.2218032 66647 20807 22538 
7.2227378 66666 20797 22490 
7.2236748 66670 20899 22640 
7.2246161 66687 20961 22757 
7.2255468 66685 21027 22761 
7.2264867 66742 21131 22845 
7.2274313 66763 21209 22910 
7.228363 66759 21298 22899 
7.2292948 66805 21399 22991 
7.2302356 66788 21512 23047 
7.2311769 66797 21600 23104 
7.2321181 66795 21664 23240 
7.2330551 66793 21702 23073 
7.2339926 66788 21781 23293 
7.2349396 66740 21782 23295 
7.2358751 66778 21884 23312 
7.2368202 66797 21919 23392 
7.2377605 66822 21975 23440 
7.2386994 66831 21954 23277 
7.2396364 66830 21964 23464 
7.2405777 66838 21998 23425 
7.2415237 66807 21982 23276 
7.2424726 66894 22042 23384 
7.2434216 66944 22067 23461 
7.2443643 66970 22065 23449 
7.245307 67001 22063 23459 
7.2462478 67027 22077 23338 
7.2471843 67070 22083 23470 
7.2481208 67041 22082 23463 
7.2490649 67045 22121 23496 
7.2500043 67081 22161 23412 
7.2509508 67085 22231 23415 
7.2518973 67086 22254 23504 
7.2528491 67109 22274 23528 
7.2537942 67075 22365 23638 
7.254735 66956 22365 23517 
7.2556782 66109 22130 23494 
7.2566218 66711 22386 23534 
7.2575703 67199 22590 23614 
7.258512 67180 22613 23536 
7.2594585 67180 22633 23601 
7.2604008 67184 22700 23614 
7.2613482 67205 22709 23553 
7.2622933 67181 22748 23665 
7.2632432 67212 22774 23743 
7.2641864 67220 22802 23745 
7.2651343 67195 22810 23658 
7.2660875 67205 22824 23642 
7.2670426 67221 22898 23643 
7.2679963 67198 22922 23671 
7.2689452 67182 22921 23622 
7.2698903 67188 22959 23635 
7.270833 67211 22984 23686 
7.271781 67183 23060 23657 
7.2727332 67194 23103 23704 
7.2736859 67267 23173 23711 
7.2746325 67217 23222 23696 
7.2755857 67230 23313 23716 
7.2765412 67237 23341 23785 
7.2774906 67238 23400 23734 
7.27844 67238 23488 23847 
7.2793875 67265 23559 23875 
7.2803373 67267 23607 23970 
7.2812943 67226 23697 23905 
7.2822495 67264 23810 23863 
7.2832003 67294 23883 23834 
7.2841558 67299 23967 23904 
7.2851048 67324 24028 23886 
7.2860541 67391 24127 23939 
7.2870059 67370 24174 24071 
7.2879581 67444 24326 23956 
7.2889104 67468 24409 24116 
7.289865 67475 24504 24208 
7.2908225 67499 24518 24246 
7.2917824 67558 24603 24176 
7.2927337 67493 24649 24297 
7.2936807 67537 24640 24238 
7.2946391 67577 24778 24394 
7.2956018 67555 24823 24418 
7.2965565 67578 24869 24484 
7.2975111 67553 24892 24385 
7.2984705 67570 24870 24585 
7.2994328 67601 24924 24473 
7.3003879 67589 24957 24494 
7.3013458 67630 25028 24540 
7.3023019 67619 25020 24508 
7.303256 67632 25028 24560 
7.3042102 67662 25076 24481 
7.3051691 67658 25057 24766 
7.3061261 67685 25114 24636 
7.307086 67727 25163 24706 
7.3080454 67754 25246 24716 
7.3090057 67798 25262 24717 
7.3099685 67791 25259 24747 
7.3109221 67842 25310 24636 
7.311883 67824 25349 24654 
7.3128419 67852 25386 24702 
7.3138032 67891 25439 24730 
7.3147626 67901 25478 24627 
7.3157268 67940 25503 24805 
7.316689 67943 25510 24756 
7.3176513 67914 25530 24779 
7.3186073 67961 25574 24789 
7.3195701 67914 25656 24776 
7.3205333 67973 25739 24851 
7.3215013 67936 25717 25029 
7.322463 67962 25792 24893 
7.3234224 67942 25800 24923 
7.3243914 67934 25884 24918 
7.3253555 67967 25941 25007 
7.3263226 67958 25995 24962 
7.3272877 68003 26060 24985 
7.3282576 68000 26128 24924 
7.3292212 67982 26168 25083 
7.3301802 68011 26235 25137 
7.3311462 68036 26229 25007 
7.3321171 68108 26328 25169 
7.3330836 68096 26416 25126 
7.3340554 68056 26429 25302 
7.3350224 68094 26504 25299 
7.3359876 68077 26548 25300 
7.336946 68117 26627 25343 
7.3379097 68084 26731 25425 
7.3388777 67926 26713 25290 
7.3398395 67412 26605 25430 
7.340806 67794 26789 25315 
7.3417726 67957 26911 25454 
7.3427491 67990 27005 25427 
7.3437209 68026 26979 25418 
7.3446951 68019 27099 25444 
7.3456607 68052 27171 25461 
7.3466244 68085 27244 25519 
7.3475833 68063 27298 25508 
7.3485518 68099 27374 25578 
7.3495302 68097 27431 25605 
7.3505039 68108 27519 25640 
7.35148 68124 27480 25532 
7.3524566 68124 27511 25570 
7.3534288 68130 27622 25555 
7.3543921 68094 27647 25627 
7.3553534 68125 27680 25386 
7.3563194 68103 27712 25596 
7.3572974 68172 27801 25647 
7.3582711 68189 27864 25707 
7.359252 68197 27848 25676 
7.3602352 68231 27965 25722 
7.3612142 68231 28051 25889 
7.3621817 68270 28152 25788 
7.3631568 68278 28171 25821 
7.3641295 68300 28221 25801 
7.3651094 68329 28305 25846 
7.3660855 68306 28321 25878 
7.3670616 68345 28402 25872 
7.3680401 68343 28494 25941 
7.3690143 68366 28556 25947 
7.3699908 68369 28609 25981 
7.3709636 68410 28715 26027 
7.3719382 68408 28777 26139 
7.3729138 68425 28795 26024 
7.3738847 68422 28797 26087 
7.3748627 68397 28820 26137 
7.3758483 68443 28900 26138 
7.376822 68433 28980 26460 
7.3777919 68434 29022 26210 
7.3787732 68489 29110 26273 
7.3797598 68472 29122 26286 
7.3807397 68473 29149 26136 
7.3817148 68461 29233 26315 
7.3826952 68467 29355 26496 
7.3836827 68491 29386 26593 
7.3846588 68503 29420 26649 
7.3856401 68503 29474 26581 
7.3866239 68536 29469 26648 
7.3876052 68493 29504 26691 
7.3885827 68513 29598 26660 
7.3895626 68562 29646 26738 
7.3905401 68552 29730 26888 
7.3915186 68587 29796 26752 
7.3924947 68585 29887 26727 
7.3934755 68591 29966 26876 
7.3944569 68587 29947 26990 
7.3954334 68601 29975 26997 
7.3964152 68672 30079 26832 
7.3974042 68663 30195 26980 
7.398396 68654 30218 26981 
7.3993716 68656 30247 26942 
7.4003496 68665 30319 27057 
7.4013371 68685 30392 27091 
7.4023256 68709 30441 27083 
7.4033136 68734 30465 27190 
7.4043021 68738 30545 27148 
7.4052982 68753 30594 27203 
