# Sample I1 = col 7  I2= col 8, mu = ln(I1/I2)
# Energy, Theta, XMU, FLUO, REF, FLUO_RAW, I0, I1, I2, I3
1.140183398437500000e+04 1.644862747192382812e+01 -7.461179494857788086e-01 2.197856515176283381e+02 1.614527404308319092e-01 2.118378796451223707e+02 2.964531183242797852e+00 6.251596450805664062e+00 5.319525718688964844e+00 0.000000000000000000e+00
1.140211132812500000e+04 1.644821739196777344e+01 -7.461214065551757812e-01 2.153099565283216918e+02 1.616160422563552856e-01 2.073961068500856015e+02 2.965340137481689453e+00 6.253324031829833984e+00 5.320127010345458984e+00 0.000000000000000000e+00
1.140240039062500000e+04 1.644779014587402344e+01 -7.463162541389465332e-01 2.017267767755903662e+02 1.616182625293731689e-01 1.942363032892398280e+02 2.965460062026977539e+00 6.254795551300048828e+00 5.321366786956787109e+00 0.000000000000000000e+00
1.140271386718750000e+04 1.644732475280761719e+01 -7.463499307632446289e-01 2.058888222352601076e+02 1.615384519100189209e-01 1.982602424445687461e+02 2.965798854827880859e+00 6.255720615386962891e+00 5.322578430175781250e+00 0.000000000000000000e+00
1.140304687500000000e+04 1.644683074951171875e+01 -7.466143965721130371e-01 2.104932835870289694e+02 1.615451425313949585e-01 2.029909559858298564e+02 2.965649366378784180e+00 6.257060050964355469e+00 5.323682785034179688e+00 0.000000000000000000e+00
1.140340039062500000e+04 1.644630432128906250e+01 -7.468867897987365723e-01 2.160978194473636051e+02 1.615737378597259521e-01 2.078641294343746608e+02 2.963474273681640625e+00 6.254174232482910156e+00 5.321074962615966797e+00 0.000000000000000000e+00
1.140377636718750000e+04 1.644574737548828125e+01 -7.470616102218627930e-01 2.119130949126615917e+02 1.615125834941864014e-01 2.038055641077025086e+02 2.963608980178833008e+00 6.255552291870117188e+00 5.322573184967041016e+00 0.000000000000000000e+00
1.140416308593750000e+04 1.644517517089843750e+01 -7.472178339958190918e-01 2.203364184414516558e+02 1.615328639745712280e-01 2.115589684645577790e+02 2.963712692260742188e+00 6.256748199462890625e+00 5.323482513427734375e+00 0.000000000000000000e+00
1.140456835937500000e+04 1.644457244873046875e+01 -7.472416758537292480e-01 2.310935678541328286e+02 1.615486890077590942e-01 2.223222908142377321e+02 2.964165210723876953e+00 6.257853031158447266e+00 5.324338436126708984e+00 0.000000000000000000e+00
1.140500195312500000e+04 1.644393157958984375e+01 -7.473529577255249023e-01 2.149654583281090936e+02 1.613601148128509521e-01 2.068482262204757944e+02 2.963525533676147461e+00 6.257198333740234375e+00 5.324785232543945312e+00 0.000000000000000000e+00
1.140544824218750000e+04 1.644326782226562500e+01 -7.476421594619750977e-01 2.184591701475405330e+02 1.615490913391113281e-01 2.102919332216734460e+02 2.962548255920410156e+00 6.256944656372070312e+00 5.323563575744628906e+00 0.000000000000000000e+00
1.140591308593750000e+04 1.644257926940917969e+01 -7.477877140045166016e-01 2.190133477948561449e+02 1.613609343767166138e-01 2.106244122565301211e+02 2.962619543075561523e+00 6.258005619049072266e+00 5.325468063354492188e+00 0.000000000000000000e+00
1.140639453125000000e+04 1.644186592102050781e+01 -7.480794787406921387e-01 2.134917949918609850e+02 1.614140868186950684e-01 2.056034185951025677e+02 2.962013006210327148e+00 6.258550167083740234e+00 5.325648307800292969e+00 0.000000000000000000e+00
1.140688964843750000e+04 1.644112968444824219e+01 -7.482978105545043945e-01 2.179989135393509514e+02 1.615839898586273193e-01 2.103054561884724762e+02 2.962357759475708008e+00 6.260645389556884766e+00 5.326526165008544922e+00 0.000000000000000000e+00
1.140739648437500000e+04 1.644038200378417969e+01 -7.484718561172485352e-01 2.028610274326051979e+02 1.611496955156326294e-01 1.951111631913816780e+02 2.962413787841796875e+00 6.261853694915771484e+00 5.329868316650390625e+00 0.000000000000000000e+00
1.140789648437500000e+04 1.643964004516601562e+01 -7.489400506019592285e-01 2.220423933525295581e+02 1.614793092012405396e-01 2.138164391281843848e+02 2.960483312606811523e+00 6.260704040527343750e+00 5.327133655548095703e+00 0.000000000000000000e+00
1.140838769531250000e+04 1.643891334533691406e+01 -7.491828203201293945e-01 2.085790631061101408e+02 1.613976508378982544e-01 2.006586055825794119e+02 2.960251808166503906e+00 6.261734008789062500e+00 5.328444957733154297e+00 0.000000000000000000e+00
1.140888574218750000e+04 1.643817520141601562e+01 -7.494500875473022461e-01 2.167362900360999163e+02 1.613934934139251709e-01 2.085475702086131946e+02 2.958557605743408203e+00 6.259823322296142578e+00 5.326841354370117188e+00 0.000000000000000000e+00
1.140938964843750000e+04 1.643742752075195312e+01 -7.495195865631103516e-01 2.203287582707593515e+02 1.612319946289062500e-01 2.123075666677440552e+02 2.957972764968872070e+00 6.259020805358886719e+00 5.327018737792968750e+00 0.000000000000000000e+00
1.140989453125000000e+04 1.643667984008789062e+01 -7.498481273651123047e-01 2.107381053720727664e+02 1.613381057977676392e-01 2.030749858576074018e+02 2.959497928619384766e+00 6.264305591583251953e+00 5.330950736999511719e+00 0.000000000000000000e+00
1.141040039062500000e+04 1.643593025207519531e+01 -7.501276731491088867e-01 2.151609189818277628e+02 1.613329350948333740e-01 2.072014208695984223e+02 2.958473920822143555e+00 6.263888835906982422e+00 5.330624103546142578e+00 0.000000000000000000e+00
1.141090527343750000e+04 1.643518257141113281e+01 -7.500870823860168457e-01 2.114535178470687242e+02 1.612806916236877441e-01 2.031140278895993276e+02 2.958929061889648438e+00 6.264598369598388672e+00 5.331506252288818359e+00 0.000000000000000000e+00
1.141140527343750000e+04 1.643444061279296875e+01 -7.500763535499572754e-01 2.184246734946515289e+02 1.612357497215270996e-01 2.105393619082725536e+02 2.959066629409790039e+00 6.264822483062744141e+00 5.331936836242675781e+00 0.000000000000000000e+00
1.141190527343750000e+04 1.643370246887207031e+01 -7.502262592315673828e-01 2.173654904799265921e+02 1.611490994691848755e-01 2.089061618729472229e+02 2.958266019821166992e+00 6.264066219329833984e+00 5.331755161285400391e+00 0.000000000000000000e+00
1.141239941406250000e+04 1.643296813964843750e+01 -7.503182888031005859e-01 2.207853353766365103e+02 1.612204164266586304e-01 2.123534036189574579e+02 2.957334280014038086e+00 6.262670040130615234e+00 5.330186367034912109e+00 0.000000000000000000e+00
1.141289746093750000e+04 1.643223190307617188e+01 -7.504169940948486328e-01 2.229446935403335601e+02 1.611295044422149658e-01 2.147059640576025856e+02 2.957533121109008789e+00 6.263709068298339844e+00 5.331555366516113281e+00 0.000000000000000000e+00
1.141340039062500000e+04 1.643148803710937500e+01 -7.506334185600280762e-01 2.183505449164293566e+02 1.609176248311996460e-01 2.103474089447778397e+02 2.957012891769409180e+00 6.263962745666503906e+00 5.332901000976562500e+00 0.000000000000000000e+00
1.141390332031250000e+04 1.643074226379394531e+01 -7.508129477500915527e-01 2.010374024283822791e+02 1.611526459455490112e-01 1.935564197713732995e+02 2.955210685729980469e+00 6.261269092559814453e+00 5.329355239868164062e+00 0.000000000000000000e+00
1.141439843750000000e+04 1.643000984191894531e+01 -7.512122988700866699e-01 2.113743533399904209e+02 1.611440181732177734e-01 2.036001491315413716e+02 2.951864242553710938e+00 6.256677150726318359e+00 5.325492858886718750e+00 0.000000000000000000e+00
1.141489160156250000e+04 1.642927932739257812e+01 -7.512487769126892090e-01 2.237421014159100139e+02 1.610149443149566650e-01 2.155179879387754340e+02 2.951029777526855469e+00 6.255136489868164062e+00 5.324868679046630859e+00 0.000000000000000000e+00
1.141539355468750000e+04 1.642853736877441406e+01 -7.515817880630493164e-01 2.171349757613524218e+02 1.612372696399688721e-01 2.090959607871178889e+02 2.950798273086547852e+00 6.256729125976562500e+00 5.325040340423583984e+00 0.000000000000000000e+00
1.141589941406250000e+04 1.642778778076171875e+01 -7.517387866973876953e-01 2.181440330706695079e+02 1.610027700662612915e-01 2.100953030668549957e+02 2.951041698455810547e+00 6.258227348327636719e+00 5.327564716339111328e+00 0.000000000000000000e+00
1.141640039062500000e+04 1.642704582214355469e+01 -7.519019842147827148e-01 2.139848148345107290e+02 1.610014438629150391e-01 2.060629544302895226e+02 2.950554609298706055e+00 6.258215904235839844e+00 5.327561855316162109e+00 0.000000000000000000e+00
1.141690234375000000e+04 1.642630577087402344e+01 -7.520050406455993652e-01 2.187698298354606550e+02 1.609254330396652222e-01 2.105044731324340717e+02 2.950056076049804688e+00 6.257803440093994141e+00 5.327615737915039062e+00 0.000000000000000000e+00
1.141740039062500000e+04 1.642556571960449219e+01 -7.520690560340881348e-01 2.219453526973867667e+02 1.609323322772979736e-01 2.141535319496566387e+02 2.951153755187988281e+00 6.260532379150390625e+00 5.329902172088623047e+00 0.000000000000000000e+00
1.141790039062500000e+04 1.642482757568359375e+01 -7.522696256637573242e-01 2.079873262527382849e+02 1.609669476747512817e-01 2.006801361958635539e+02 2.949968099594116211e+00 6.259272575378417969e+00 5.328645229339599609e+00 0.000000000000000000e+00
1.141839941406250000e+04 1.642408943176269531e+01 -7.524728178977966309e-01 2.005780199044876895e+02 1.609370112419128418e-01 1.932471835620610534e+02 2.949590206146240234e+00 6.259742259979248047e+00 5.329204559326171875e+00 0.000000000000000000e+00
1.141890136718750000e+04 1.642334747314453125e+01 -7.526344060897827148e-01 2.158681129795376421e+02 1.608458608388900757e-01 2.081298707071389629e+02 2.950081110000610352e+00 6.261795997619628906e+00 5.331439018249511719e+00 0.000000000000000000e+00
1.141940136718750000e+04 1.642260742187500000e+01 -7.529354095458984375e-01 2.112055054664128875e+02 1.610058099031448364e-01 2.034395805846176302e+02 2.949278593063354492e+00 6.261977672576904297e+00 5.330740928649902344e+00 0.000000000000000000e+00
1.141990039062500000e+04 1.642186927795410156e+01 -7.529394030570983887e-01 2.207246429832863441e+02 1.610624343156814575e-01 2.129981871860952367e+02 2.948381900787353516e+00 6.260098457336425781e+00 5.328839302062988281e+00 0.000000000000000000e+00
